,res,temp6t410,press6t4,dew6t4,prcp6t4,wind6t4,skycover,ozone,co,pm25
0,0.0,0.0336,29.865,33.2,0.0,0.0,0.81666666,0.001,1.608333,33.3
1,1.0,0.0643,30.068,53.0,0.000100000005,8.2,0.96666664,0.027125,1.270833,10.9
2,1.0,0.0384,29.842,26.4,0.0,3.9,0.725,0.010917,1.004167,7.266667
3,1.0,,,,0.0,4.2,0.35,0.025958,1.190909,12.0
4,0.0,0.040400002,29.863,34.7,0.0,0.3,0.9,0.017292,1.536364,13.5
5,0.0,0.0696,29.747,49.8,0.0,0.6,0.13333334,0.041333,1.016667,32.275
6,0.0,0.0305,30.131,19.1,0.0,2.8,0.175,0.014833,1.025,5.15
7,0.0,0.0345,29.742,22.6,0.0,6.5,0.24583334,0.019875,0.895833,7.0
8,0.0,0.06730001,29.845,55.3,0.0,0.7,0.6375,0.051417,1.313043,8.1
9,0.0,0.0379,29.883,35.5,0.0,1.3,0.8958333,0.011375,0.447826,9.2
10,0.0,0.042799998,29.898,28.3,0.0,2.9,0.74583334,0.026958,0.958333,20.7
11,1.0,0.0474,29.967,32.1,0.0,8.5,0.47826087,0.02,0.7375,14.7875
12,0.0,0.0359,30.076,24.7,0.0,1.2,0.12083333,0.027625,0.608333,11.3
13,0.0,0.0711,29.55,67.6,0.017099999,1.4,0.87083334,0.026292,1.441667,12.6
14,0.0,0.0076,29.588,2.3,0.0084999995,5.6,0.6458333,0.0185,0.545833,9.879167
15,0.0,0.0644,29.464,60.8,0.0333,3.5,0.7521739,0.032292,1.520833,15.1
16,0.0,,,,0.0,0.3,0.975,0.016625,1.245455,27.3
17,0.0,0.0502,29.517,48.2,0.062099997,5.5,0.9916667,0.017708,1.6125,19.6
18,0.0,0.0425,29.892,27.1,0.0,6.0,0.57916665,0.023708,0.8125,13.5875
19,0.0,0.0427,29.873,34.1,0.0,2.1,0.175,0.016625,0.908333,21.6
20,0.0,0.06519999,29.663,60.9,0.0,1.3,0.8666667,0.033125,1.313636,7.395833
21,0.0,0.08180001,29.604,74.8,0.0,3.1,0.47083333,0.038583,1.166667,23.6
22,0.0,0.055400003,29.328,53.1,0.0009999999,2.4,0.9,0.016875,1.295833,14.4
23,0.0,0.0563,29.909,53.9,0.0,2.9,0.6458333,0.002375,1.104167,9.471429
24,0.0,0.0448,29.545,31.1,0.0,10.2,0.7708333,0.02325,0.416667,4.2
25,1.0,0.0643,30.068,53.0,0.000100000005,8.2,0.96666664,0.027125,1.270833,10.9
26,0.0,0.060599998,30.041,53.9,0.0,2.0,0.33333334,0.027208,1.791667,9.929167
27,0.0,0.0695,29.927,53.6,0.0,4.0,0.19583334,0.054083,,13.5
28,0.0,0.0076,29.588,2.3,0.0084999995,5.6,0.6458333,0.0185,0.545833,9.879167
29,0.0,0.0718,29.753,66.8,0.0,3.5,0.7217391,0.048417,1.983333,16.508333
30,0.0,0.0395,30.012,25.5,0.0,5.7,0.975,0.021083,1.208333,17.8
31,0.0,0.0633,29.649,55.2,0.0,2.3,0.725,0.042625,,20.2
32,0.0,0.073199995,29.744,69.5,0.0,3.0,0.8375,0.025167,0.991667,23.7
33,0.0,0.0315,29.967,28.1,0.0,1.1,0.7625,0.001167,1.316667,36.3
34,0.0,0.0771,29.678,69.7,0.0,3.9,0.56666666,0.043417,0.845833,38.8
35,0.0,0.0643,29.987,62.4,0.0,2.9,0.875,0.025708,0.929167,26.1
36,0.0,0.0242,30.416,15.9,0.0,0.5,0.25833333,0.023958,1.3625,18.866667
37,1.0,0.0466,29.961,26.5,0.0,6.3,0.93333334,0.028708,,8.2
38,0.0,0.0395,29.512,22.3,0.0,9.5,0.4375,0.013125,0.7,14.2
39,0.0,0.0718,29.753,66.8,0.0,3.5,0.7217391,0.048417,1.983333,16.508333
40,0.0,0.069400005,29.786,62.2,0.00020000001,1.8,0.7583333,0.025708,1.383333,12.679167
41,0.0,0.069199994,29.801,59.4,0.0,4.8,0.43333334,0.044458,0.604167,17.2
42,0.0,0.0695,29.814,63.2,0.0,1.9,0.8875,0.026917,2.945833,12.2
43,0.0,0.0186,29.658,5.1,0.0,10.6,0.09583333,0.017458,0.420833,4.733333
44,0.0,0.0656,29.561,57.3,0.0039999997,2.0,0.50416666,0.027417,1.329167,22.0
45,0.0,0.062099997,30.085,55.9,0.0,5.5,0.7916667,0.017042,1.2625,9.1
46,0.0,0.0367,29.888,27.9,0.0,4.4,0.3625,0.005958,1.2,10.333333
47,0.0,0.03874,30.227,34.62,0.0,8.2,0.8875,0.01225,1.058333,12.0
48,0.0,0.055099998,29.64,53.3,0.0101,2.1,0.82916665,0.013083,1.004167,8.5
49,0.0,0.0725,29.93,63.7,0.0,4.2,0.40416667,0.066208,,22.5
50,1.0,0.0701,29.655,64.3,0.0,1.9,0.47916666,0.032167,0.895833,23.5
51,0.0,0.0337,29.536,28.4,0.0271,3.3,0.6652174,0.013375,1.479167,12.2
52,0.0,0.073300004,29.848,70.4,0.0009999999,0.3,0.8208333,0.019417,0.83913,10.7
