,0
0,city
1,id1
2,longitude
3,latitude
4,date
5,skycover
6,dsky
7,co
8,dpress
9,ozone
10,ozonemax
11,rhmean
12,rhmax
13,drh
14,pressmean
15,pressmax
16,tempmean
17,tempmax
18,dtemp
19,ltemp
20,l2temp
21,letemp
22,windmean
23,windmax
24,dwind
25,pm25
26,maxpm25
27,maxtemp
28,mintemp
29,avgtemp
30,avgdewpt
31,heatingdegreedays
32,coolingdegreedays
33,precipitationwaterequiv
34,pressureavgsealevel
35,windspeed
36,winddirection
37,windavgspeed
38,distance
39,lmaxtemp
40,l2maxtemp
41,l3maxtemp
42,l4maxtemp
43,l5maxtemp
44,le1maxtemp
45,le2maxtemp
46,le3maxtemp
47,le4maxtemp
48,le5maxtemp
49,lmintemp
50,l2mintemp
51,l3mintemp
52,l4mintemp
53,l5mintemp
54,le1mintemp
55,le2mintemp
56,le3mintemp
57,le4mintemp
58,le5mintemp
59,lavgtemp
60,l2avgtemp
61,l3avgtemp
62,l4avgtemp
63,l5avgtemp
64,le1avgtemp
65,le2avgtemp
66,le3avgtemp
67,le4avgtemp
68,le5avgtemp
69,lavgdewpt
70,l2avgdewpt
71,l3avgdewpt
72,l4avgdewpt
73,l5avgdewpt
74,le1avgdewpt
75,le2avgdewpt
76,le3avgdewpt
77,le4avgdewpt
78,le5avgdewpt
79,leprcp
80,lprcp
81,temperature0
82,dewpoint0
83,humidity0
84,windspeed0
85,winddirection0
86,airpressure0
87,pressureseaLevel0
88,precip0
89,temperature1
90,dewpoint1
91,humidity1
92,windspeed1
93,winddirection1
94,airpressure1
95,pressureseaLevel1
96,precip1
97,temperature2
98,dewpoint2
99,humidity2
100,windspeed2
101,winddirection2
102,airpressure2
103,pressureseaLevel2
104,precip2
105,temperature3
106,dewpoint3
107,humidity3
108,windspeed3
109,winddirection3
110,airpressure3
111,pressureseaLevel3
112,precip3
113,temperature4
114,dewpoint4
115,humidity4
116,windspeed4
117,winddirection4
118,airpressure4
119,pressureseaLevel4
120,precip4
121,temperature5
122,dewpoint5
123,humidity5
124,windspeed5
125,winddirection5
126,airpressure5
127,pressureseaLevel5
128,precip5
129,temperature6
130,dewpoint6
131,humidity6
132,windspeed6
133,winddirection6
134,airpressure6
135,pressureseaLevel6
136,precip6
137,temperature7
138,dewpoint7
139,humidity7
140,windspeed7
141,winddirection7
142,airpressure7
143,pressureseaLevel7
144,precip7
145,temperature8
146,dewpoint8
147,humidity8
148,windspeed8
149,winddirection8
150,airpressure8
151,pressureseaLevel8
152,precip8
153,temperature9
154,dewpoint9
155,humidity9
156,windspeed9
157,winddirection9
158,airpressure9
159,pressureseaLevel9
160,precip9
161,temperature10
162,dewpoint10
163,humidity10
164,windspeed10
165,winddirection10
166,airpressure10
167,pressureseaLevel10
168,precip10
169,temperature11
170,dewpoint11
171,humidity11
172,windspeed11
173,winddirection11
174,airpressure11
175,pressureseaLevel11
176,precip11
177,temperature12
178,dewpoint12
179,humidity12
180,windspeed12
181,winddirection12
182,airpressure12
183,pressureseaLevel12
184,precip12
185,temperature13
186,dewpoint13
187,humidity13
188,windspeed13
189,winddirection13
190,airpressure13
191,pressureseaLevel13
192,precip13
193,temperature14
194,dewpoint14
195,humidity14
196,windspeed14
197,winddirection14
198,airpressure14
199,pressureseaLevel14
200,precip14
201,temperature15
202,dewpoint15
203,humidity15
204,windspeed15
205,winddirection15
206,airpressure15
207,pressureseaLevel15
208,precip15
209,temperature16
210,dewpoint16
211,humidity16
212,windspeed16
213,winddirection16
214,airpressure16
215,pressureseaLevel16
216,precip16
217,temperature17
218,dewpoint17
219,humidity17
220,windspeed17
221,winddirection17
222,airpressure17
223,pressureseaLevel17
224,precip17
225,temperature18
226,dewpoint18
227,humidity18
228,windspeed18
229,winddirection18
230,airpressure18
231,pressureseaLevel18
232,precip18
233,temperature19
234,dewpoint19
235,humidity19
236,windspeed19
237,winddirection19
238,airpressure19
239,pressureseaLevel19
240,precip19
241,temperature20
242,dewpoint20
243,humidity20
244,windspeed20
245,winddirection20
246,airpressure20
247,pressureseaLevel20
248,precip20
249,temperature21
250,dewpoint21
251,humidity21
252,windspeed21
253,winddirection21
254,airpressure21
255,pressureseaLevel21
256,precip21
257,temperature22
258,dewpoint22
259,humidity22
260,windspeed22
261,winddirection22
262,airpressure22
263,pressureseaLevel22
264,precip22
265,temperature23
266,dewpoint23
267,humidity23
268,windspeed23
269,winddirection23
270,airpressure23
271,pressureseaLevel23
272,precip23
273,ltemperature0
274,l2temperature0
275,letemperature0
276,le2temperature0
277,ltemperature1
278,l2temperature1
279,letemperature1
280,le2temperature1
281,ltemperature2
282,l2temperature2
283,letemperature2
284,le2temperature2
285,ltemperature3
286,l2temperature3
287,letemperature3
288,le2temperature3
289,ltemperature4
290,l2temperature4
291,letemperature4
292,le2temperature4
293,ltemperature5
294,l2temperature5
295,letemperature5
296,le2temperature5
297,ltemperature6
298,l2temperature6
299,letemperature6
300,le2temperature6
301,ltemperature7
302,l2temperature7
303,letemperature7
304,le2temperature7
305,ltemperature8
306,l2temperature8
307,letemperature8
308,le2temperature8
309,ltemperature9
310,l2temperature9
311,letemperature9
312,le2temperature9
313,ltemperature10
314,l2temperature10
315,letemperature10
316,le2temperature10
317,ltemperature11
318,l2temperature11
319,letemperature11
320,le2temperature11
321,ltemperature12
322,l2temperature12
323,letemperature12
324,le2temperature12
325,ltemperature13
326,l2temperature13
327,letemperature13
328,le2temperature13
329,ltemperature14
330,l2temperature14
331,letemperature14
332,le2temperature14
